pheno_id	in_vcf_spelling
PI068746	PI68746
PI068748	PI68748
PI068748-1	PI68748-1
PI068756	PI68756
PI068759	PI68759
PI068761	PI68761
PI068761-3	PI68761-3
PI068762	PI68762
PI068763	PI68763
PI068765	PI68765
PI068768	PI68768
PI068770	PI68770
PI068778	PI68778
PI068788	PI68788
PI068795	PI68795
PI068806	PI68806
PI068815	PI68815
PI069500	PI69500
PI069501	PI69501
PI069503	PI69503
PI069507	PI69507
PI069507-1	PI69507-1
PI069512	PI69512
PI069515	PI69515
PI069532	PI69532
PI069533	PI69533
PI069991	PI69991
PI069992	PI69992
PI069993	PI69993
PI069995	PI69995
PI069996	PI69996
PI070001	PI70001
PI070009	PI70009
PI070013	PI70013
PI070014	PI70014
PI070016	PI70016
PI070017	PI70017
PI070019	PI70019
PI070021	PI70021
PI070023	PI70023
PI070027	PI70027
PI070036	PI70036
PI070076	PI70076
PI070077	PI70077
PI070078	PI70078
PI070080	PI70080
PI070084	PI70084
PI070087	PI70087
PI070089	PI70089
PI070091	PI70091
PI070188	PI70188
PI070189	PI70189
PI070192	PI70192
PI070197	PI70197
PI070199	PI70199
PI070201	PI70201
PI070202	PI70202
PI070208	PI70208
PI070212	PI70212
PI070213	PI70213
PI070224	PI70224
PI070228	PI70228
PI070229	PI70229
PI070241	PI70241
PI070242	PI70242
PI070242-2	PI70242-2
PI070242-4	PI70242-4
PI070243	PI70243
PI070247	PI70247
PI070251	PI70251
PI070253	PI70253
PI070453	PI70453
PI070456	PI70456
PI070457	PI70457
PI070458	PI70458
PI070459	PI70459
PI070460	PI70460
PI070461	PI70461
PI070462	PI70462
PI070463	PI70463
PI070466-3	PI70466-3
PI070466-4	PI70466-4
PI070467	PI70467
PI070469	PI70469
PI070469-1	PI70469-1
PI070470	PI70470
PI070471	PI70471
PI070473	PI70473
PI070473-1	PI70473-1
PI070476	PI70476
PI070478	PI70478
PI070485	PI70485
PI070490	PI70490
PI070495	PI70495
PI070500	PI70500
PI070501	PI70501
PI070503	PI70503
PI070507	PI70507
PI070515	PI70515
PI070516	PI70516
PI070519	PI70519
PI070520	PI70520
PI070528	PI70528
PI070541	PI70541
PI070559	PI70559
PI070561	PI70561
PI070566	PI70566
PI071161	PI71161
PI071444	PI71444
PI071461	PI71461
PI071463	PI71463
PI071465	PI71465
PI071506	PI71506
PI071558	PI71558
PI071564	PI71564
PI071570	PI71570
PI071667	PI71667
PI071677	PI71677
PI071845	PI71845
PI071850	PI71850
PI071850-1	PI71850-1
PI072227	PI72227
PI072232	PI72232
PI072328	PI72328
PI072337	PI72337
PI072341	PI72341
PI072342	PI72342
PI073583	PI73583
PI073585	PI73585
PI073587	PI73587
PI073772	PI73772
PI073780	PI73780
PI078242	PI78242
PI078243	PI78243
PI079583	PI79583
PI079586	PI79586
PI079587	PI79587
PI079593	PI79593
PI079596	PI79596
PI079602	PI79602
PI079609	PI79609
PI079610	PI79610
PI079613	PI79613
PI079616	PI79616
PI079617	PI79617
PI079620	PI79620
PI079627	PI79627
PI079628	PI79628
PI079645	PI79645
PI079648	PI79648
PI079691	PI79691
PI079691-4	PI79691-4
PI079692	PI79692
PI079693	PI79693
PI079694	PI79694
PI079695	PI79695
PI079696	PI79696
PI079699	PI79699
PI079703	PI79703
PI079710	PI79710
PI079712	PI79712
PI079726	PI79726
PI079727	PI79727
PI079732-3	PI79732-3
PI079732-4	PI79732-4
PI079737	PI79737
PI079739	PI79739
PI079743	PI79743
PI079745	PI79745
PI079746	PI79746
PI079747	PI79747
PI079756	PI79756
PI079760	PI79760
PI079761	PI79761
PI079773	PI79773
PI079797	PI79797
PI079825	PI79825
PI079825-1	PI79825-1
PI079832	PI79832
PI079835	PI79835
PI079846	PI79846
PI079848	PI79848
PI079848-1	PI79848-1
PI079861	PI79861
PI079862	PI79862
PI079862-1	PI79862-1
PI079863	PI79863
PI079870-1	PI79870-1
PI079870-2	PI79870-2
PI079870-4	PI79870-4
PI079870-6	PI79870-6
PI079872	PI79872
PI079874	PI79874
PI079874-1	PI79874-1
PI079885	PI79885
PI080459	PI80459
PI080461	PI80461
PI080466	PI80466
PI080466-1	PI80466-1
PI080466-2	PI80466-2
PI080468	PI80468
PI080469	PI80469
PI080470	PI80470
PI080471	PI80471
PI080471-1	PI80471-1
PI080473	PI80473
PI080476	PI80476
PI080479	PI80479
PI080480	PI80480
PI080481	PI80481
PI080485	PI80485
PI080488	PI80488
PI080488-1	PI80488-1
PI080494	PI80494
PI080498	PI80498
PI080498-1	PI80498-1
PI080536	PI80536
PI080671	PI80671
PI080822	PI80822
PI080825	PI80825
PI080828-1	PI80828-1
PI080828-2	PI80828-2
PI080831	PI80831
PI080834-1	PI80834-1
PI080834-2	PI80834-2
PI080837	PI80837
PI080841	PI80841
PI080844-2	PI80844-2
PI080844-3	PI80844-3
PI080845-1	PI80845-1
PI080845-2	PI80845-2
PI080847-1	PI80847-1
PI080847-2	PI80847-2
PI081023	PI81023
