vcf_id	pheno_id	rule
PI68454	PI068454	zero_pad
PI68455	PI068455	zero_pad
PI68457	PI068457	zero_pad
PI68457-1	PI068457-1	zero_pad
PI68461	PI068461	zero_pad
PI68461-1	PI068461-1	zero_pad
PI68465	PI068465	zero_pad
PI68465-1	PI068465-1	zero_pad
PI68466	PI068466	zero_pad
PI68470	PI068470	zero_pad
PI68474	PI068474	zero_pad
PI68474-2	PI068474-2	zero_pad
PI68475	PI068475	zero_pad
PI68475-1	PI068475-1	zero_pad
PI68479	PI068479	zero_pad
PI68479-1	PI068479-1	zero_pad
PI68480	PI068480	zero_pad
PI68481	PI068481	zero_pad
PI68483	PI068483	zero_pad
PI68484-1	PI068484-1	zero_pad
PI68484-4	PI068484-4	zero_pad
PI68488	PI068488	zero_pad
PI68494	PI068494	zero_pad
PI68500	PI068500	zero_pad
PI68503	PI068503	zero_pad
PI68508	PI068508	zero_pad
PI68516	PI068516	zero_pad
PI68521	PI068521	zero_pad
PI68521-1	PI068521-1	zero_pad
PI68522	PI068522	zero_pad
PI68523	PI068523	zero_pad
PI68526	PI068526	zero_pad
PI68528	PI068528	zero_pad
PI68530	PI068530	zero_pad
PI68530-2	PI068530-2	zero_pad
PI68533-1	PI068533-1	zero_pad
PI68533-2	PI068533-2	zero_pad
PI68535	PI068535	zero_pad
PI68543	PI068543	zero_pad
PI68551-2	PI068551-2	zero_pad
PI68551-3	PI068551-3	zero_pad
PI68554	PI068554	zero_pad
PI68555	PI068555	zero_pad
PI68560	PI068560	zero_pad
PI68562	PI068562	zero_pad
PI68564	PI068564	zero_pad
PI68572	PI068572	zero_pad
PI68576	PI068576	zero_pad
PI68585	PI068585	zero_pad
PI68586	PI068586	zero_pad
PI68587	PI068587	zero_pad
PI68598	PI068598	zero_pad
PI68599	PI068599	zero_pad
PI68600	PI068600	zero_pad
PI68604-1	PI068604-1	zero_pad
PI68604-2	PI068604-2	zero_pad
PI68609A	PI068609A	zero_pad
PI68609B	PI068609B	zero_pad
PI68610	PI068610	zero_pad
PI68621	PI068621	zero_pad
PI68622	PI068622	zero_pad
PI68627	PI068627	zero_pad
PI68629	PI068629	zero_pad
PI68639	PI068639	zero_pad
PI68642	PI068642	zero_pad
PI68644	PI068644	zero_pad
PI68648	PI068648	zero_pad
PI68655	PI068655	zero_pad
PI68658	PI068658	zero_pad
